session_id,site1,site2,site3,site4,site5,site6,site7,site8,site9,site10,user_id
165,187,10,6,392,20,615,381,5,392,612,31
166,529,381,4905,6,656,381,381,615,5,187,31
167,381,425,612,187,20,4898,529,612,6,381,31
168,2218,187,5,381,381,529,187,656,392,381,31
169,6,18,20,17,20,5,3185,3185,458,209,31
170,187,5,381,20,381,612,529,17,6,752,31
171,940,18,209,398,2338,5,6,209,2338,398,31
172,209,20,612,5,20,529,17,6,656,18,31
173,5,20,2,187,239,398,187,2,3,239,31
174,3,239,1461,2653,2335,1273,4649,4407,1142,17,31
175,130,87,18,1461,1142,73,53,2335,130,5,31
176,6,10,31,87,73,1410,1142,22,20,3792,31
177,1142,2,87,62,54,142,2,86,54,86,31
178,62,54,54,54,3,88,13,239,239,53,31
179,239,2,3,2,1017,102,172,102,172,2837,31
180,2256,1017,73,4342,44,102,251,1017,146,908,31
181,31,2,174,174,102,146,102,1017,1017,172,31
182,1017,172,172,73,1017,172,2256,2256,73,2837,31
183,3,88,239,13,2,3,2,1759,3488,3,31
184,406,1759,903,1759,525,903,395,395,395,395,31
185,3649,2,1759,4426,4427,3,395,395,395,395,31
186,395,395,395,1759,395,395,2,6,3,2,31
187,322,102,6,3,73,84,102,322,3651,1947,31
188,146,1947,764,642,322,2728,322,73,1947,322,31
189,1091,322,84,31,2728,146,102,322,22,5,31
190,84,322,17,18,6,53,6,126,22,10,31
191,20,322,10,3725,322,322,1410,73,1947,1827,31
192,20,322,1091,22,1827,5,126,53,18,17,31
193,6,239,322,20,322,73,1418,73,1418,1091,31
194,1418,22,18,5,6,17,53,126,5,322,31
195,20,2226,322,73,1091,322,22,53,17,18,31
196,6,126,5,20,322,1570,73,1570,322,22,31
197,17,6,5,18,322,1829,322,1829,73,322,31
198,20,1091,1829,22,6,5,53,18,17,22,31
199,322,73,322,20,2600,1091,376,2600,17,6,31
200,5,18,53,322,2208,2208,73,322,20,2208,31
201,5,18,17,53,5,6,2654,4319,4317,2654,31
202,31,4318,4312,4308,84,4316,4321,20,2,636,31
203,2,761,1115,425,18,17,5,211,473,636,31
204,473,761,17,473,18,636,761,1115,425,1721,31
205,761,636,761,761,636,761,636,17,761,18,31
206,425,1115,1645,87,636,636,87,17,1115,18,31
207,761,406,761,761,636,406,761,17,1115,18,31
208,636,636,1115,18,761,406,17,406,636,636,31
209,2,18,761,2,17,1115,636,636,636,1115,31
210,17,761,18,636,322,1602,322,2149,1091,73,31
211,322,1602,770,172,1602,376,17,6,5,18,31
212,53,126,20,322,322,1843,73,1843,1843,18,31
213,53,6,126,17,5,3,88,239,13,20,31
214,636,636,1115,18,17,761,636,322,2601,322,31
215,73,87,2601,126,5,53,18,6,17,20,31
216,87,322,1827,322,73,1827,126,53,5,44,31
217,18,6,17,322,1413,322,1413,73,87,1413,31
218,5,53,18,6,17,322,87,20,2211,322,31
219,376,73,2149,770,2211,322,2211,376,126,53,31
220,6,17,5,18,322,73,20,322,2753,3072,31
221,376,3072,2753,6,17,5,53,126,18,20,31
222,5,322,322,2151,2151,1410,73,322,1656,322,31
223,2151,6,17,18,53,126,5,322,20,322,31
224,3557,322,73,1410,18,5,6,17,322,4624,31
225,20,239,61,61,1290,702,2748,61,551,41,31
226,61,231,231,231,351,351,512,192,231,231,31
227,231,101,231,231,40,231,231,231,231,231,31
228,101,231,40,1327,231,180,40,40,61,43,31
229,81,43,43,577,134,3,134,3,31,3418,31
230,55,3,55,201,123,106,4346,245,515,55,31
231,55,293,340,55,687,425,203,293,2200,55,31
232,3896,4005,762,550,550,762,227,396,553,174,31
233,174,43,192,93,93,93,577,134,93,31,31
234,134,3,134,3,134,201,123,653,134,394,31
235,3899,55,3,55,55,55,201,123,106,43,31
236,93,93,134,201,123,394,653,653,3834,1264,31
237,1264,55,55,55,425,613,348,128,203,174,31
238,607,3873,4061,174,1786,607,55,201,55,1786,31
239,123,193,5,1433,3806,3978,1433,1246,227,1246,31
240,227,370,1021,370,1474,1474,1472,218,3123,3123,31
241,55,55,201,123,425,55,465,55,293,473,31
242,1596,473,5,687,340,3830,3953,55,123,201,31
243,55,55,425,55,3894,258,3863,762,258,350,31
244,212,899,55,55,55,55,3887,606,3892,227,31
245,606,227,607,607,55,201,55,123,4060,3984,31
246,613,762,613,608,1952,608,55,55,55,55,31
247,55,55,201,123,55,3829,3951,762,1246,1246,31
248,227,608,227,608,676,676,55,201,55,123,31
249,3923,3929,55,55,201,123,3958,3888,134,55,31
250,123,201,653,394,123,201,134,653,394,3802,31
251,603,603,55,55,134,55,134,653,394,3959,31
252,258,258,4912,3,134,577,31,3,134,653,31
253,653,134,394,134,3924,2378,613,2378,613,55,31
254,3,55,55,55,106,813,1280,1035,293,106,31
255,687,908,293,245,3866,4011,396,553,396,2157,31
256,396,1173,2205,1021,1021,899,899,608,608,43,31
257,93,2,3,6,2,59,31,59,136,59,31
258,59,6,2,3,2,2,2,399,282,2,31
259,4584,3090,399,282,226,226,591,399,1004,22,31
260,1315,691,44,974,22,6,691,1004,18,17,31
261,1315,714,691,1004,679,691,714,20,10,5,31
262,6,20,399,10,2,2,843,843,484,484,31
263,484,484,200,1194,2,2,2,2,62,54,31
264,142,86,54,62,54,55,134,134,55,55,31
265,55,55,425,55,193,348,5,3864,4045,2,31
266,62,54,54,86,54,62,340,2,2,2,31
267,59,59,59,2,2,1322,439,31,1870,439,31
268,1738,1738,854,128,211,3535,203,1738,211,3117,31
269,1738,5,2485,2485,1738,211,203,2485,854,211,31
270,3117,128,5,214,439,2,1322,439,2999,3,31
271,3,5,2,2,59,2,59,59,2,59,31
272,59,2,59,59,2,2,2859,2,55,134,31
273,134,55,55,55,425,473,203,174,174,55,31
274,134,123,201,134,653,394,3848,55,55,425,31
275,128,55,134,201,123,473,653,394,3944,93,31
276,10,4,216,3,4,10,4,6,3,3,31
277,4,3,21,27,6,10,27,4,21,6,31
278,30,3,9,9,30,6,6,4,4,33,31
279,4,4,9,6,23,4,9,9,6,33,31
280,6,23,2,2,6,9,2,2,2,62,31
281,54,54,2,86,86,62,9,9,4,4,31
282,9,4,4,9,4,4,9,4,4,4,31
283,9,4,9,4,4,9,4,134,134,4,31
284,55,55,201,123,3607,251,3882,3908,4,9,31
285,4,60,60,265,577,134,3,134,134,3,31
286,31,201,123,134,134,3855,652,350,350,394,31
287,55,55,3,55,55,55,687,3973,55,55,31
288,201,123,106,1035,813,4019,3862,676,1473,218,31
289,350,218,106,43,55,201,123,193,293,908,31
290,3808,899,258,3990,258,2965,562,2965,562,613,31
291,2117,2117,55,134,134,134,134,394,3933,227,31
292,227,212,212,394,55,55,3872,3985,550,550,31
293,603,603,55,55,340,55,4037,3846,1127,1127,31
294,553,396,212,396,212,55,5,3922,3861,1667,31
295,1667,258,1264,201,55,123,3941,852,852,2190,31
296,3945,370,370,608,55,55,123,201,55,55,31
297,4013,4034,55,55,123,201,5,128,3936,3890,31
298,2380,885,862,545,862,134,55,4042,134,4024,31
299,899,830,394,394,55,3912,55,4043,55,3909,31
300,3962,370,370,227,212,212,258,218,874,227,31
301,218,550,550,192,2,6,3,4,3,4,31
302,4,10,2,6,21,2,2,27,3,10,31
303,21,4,30,6,9,3,27,6,9,4,31
304,33,6,4,9,33,10,4,31,577,201,31
305,3,134,123,6,6,9,4,55,3,55,31
306,3,55,106,173,813,1035,55,4059,652,652,31
307,173,55,55,3,55,2699,203,55,3991,3816,31
308,227,43,218,227,218,1696,174,55,55,174,31
309,55,4,9,6,6,4,4,9,4,30,31
310,4,4,30,124,124,77,30,30,30,124,31
311,77,4,4,4,4,4,4,4,43,2,31
312,6,3,2506,2,2,2203,3,6,2,3,31
313,134,577,134,3,31,134,134,4049,394,3,31
314,55,123,198,55,201,106,245,193,3938,874,31
315,55,3,55,293,340,2699,3952,4048,227,603,31
316,218,227,55,1127,1127,2,2,62,142,86,31
317,2,54,2,86,142,54,777,2,2,134,31
318,3,134,3950,394,123,55,198,55,3919,3804,31
319,613,613,218,2158,2158,350,350,1028,55,3925,31
320,3943,416,562,852,562,227,852,227,55,55,31
321,2,54,62,2,62,86,2,55,2,86,31
322,54,62,2,62,86,43,2,3,6,4,31
323,2,10,2,6,2,21,27,2,3,9,31
324,10,3,21,4,6,30,27,9,30,9,31
325,4,33,10,33,4,9,6,134,577,3,31
326,134,618,31,3,201,198,4,123,123,3,31
327,55,55,201,123,198,106,192,193,813,1035,31
328,342,2312,106,3895,1173,1600,55,4023,1165,227,31
329,212,43,2,9,2,2,2,36,3,157,31
330,36,92,3,36,3,128,5,173,105,10,31
331,10,105,9,2,9,9,9,9,4,3,31
332,30,4,33,2,3,30,33,4,9,9,31
333,6,4,6,4,9,9,4,4,4,4,31
334,9,4,4,4,4,9,4,4,9,134,31
335,201,198,123,55,198,123,201,55,348,5,31
336,3844,3874,416,370,416,370,603,603,608,608,31
337,4,55,55,55,123,198,201,55,3999,762,31
338,9,822,822,608,608,4,4,4,4,9,31
339,55,198,55,123,201,293,1408,55,5,55,31
340,212,3961,3898,258,258,212,55,251,203,3826,31
341,908,246,3860,607,769,769,212,212,55,607,31
342,830,174,830,962,962,4,55,340,3932,123,31
343,198,201,55,3968,3972,3996,762,258,553,396,31
344,370,201,55,123,198,55,4006,55,193,55,31
345,55,3814,55,4033,3828,4,1696,1696,227,852,31
346,852,174,370,370,134,55,212,55,5,2323,31
347,2934,1853,3847,212,212,1288,4020,55,55,201,31
348,198,123,3843,3940,1021,55,201,123,198,4008,31
349,874,962,3983,962,2380,1288,874,258,769,769,31
350,258,962,962,4,55,3986,3979,4,4,80,31
351,52,67,15,72,15,1062,1062,114,3004,114,31
352,561,39,114,114,114,114,39,37,24,544,31
353,85,52,37,24,37,24,24,24,37,24,31
354,37,24,37,24,15,72,2,141,113,15,31
355,6,3,2,168,182,310,164,81,162,168,31
356,182,164,168,162,2,6,3,4,10,2,31
357,6,21,2,2,2,27,3,27,6,4,31
358,10,21,9,4,3,30,9,4,33,4,31
359,10,33,9,4,6,43,60,60,60,60,31
360,69,69,160,80,67,67,576,113,2,141,31
361,15,72,15,2,464,15,39,39,2,2,31
362,37,24,24,6,3,2,85,52,3,67,31
363,67,2,295,535,295,295,478,1599,535,295,31
364,3,2,3,3,2,62,54,2,62,54,31
365,86,142,86,2041,2,2041,2041,2041,2,5,31
366,391,118,90,108,5,90,108,18,108,118,31
367,22,73,44,102,5,17,15,90,118,298,31
368,406,5,107,20,54,62,62,86,2,53,31
369,2155,704,53,22,17,5,130,22,44,53,31
370,18,6,80,3,130,15,3,31,6,10,31
371,53,203,53,53,53,53,53,22,2,1524,31
372,1524,2,24,37,24,254,24,37,24,2,31
373,15,72,15,15,15,15,2,21,27,10,31
374,3,30,6,9,33,9,9,24,37,9,31
375,9,9,24,37,24,9,15,72,4,6,31
376,9,9,37,24,9,6,9,9,37,24,31
377,6,9,4,60,60,60,60,39,67,80,31
378,577,134,3,134,618,3,31,618,123,198,31
379,201,594,52,31,757,5,134,3823,307,55,31
380,3,55,394,201,198,55,340,55,757,193,31
381,293,123,67,5,3889,4051,212,212,218,553,31
382,396,55,55,813,515,106,136,2944,55,113,31
383,203,1035,259,246,251,128,4044,55,55,4035,31
384,3839,1130,1130,55,55,55,87,198,123,201,31
385,342,55,4030,3875,606,2672,2672,218,218,3116,31
386,218,3116,87,55,128,348,757,3897,4029,822,31
387,822,370,370,370,769,607,227,227,37,24,31
388,24,24,85,52,37,24,24,15,2,72,31
389,15,563,6,9,3,2,39,37,24,24,31
390,24,37,24,24,37,24,37,24,72,15,31
391,15,15,15,15,3,30,10,33,6,51,31
392,9,23,6,9,6,9,37,24,9,9,31
393,9,4,420,4,10,21,4,27,10,21,31
394,27,4,30,4,3,4,30,51,4,3,31
395,4,51,9,6,4,51,9,4,6,33,31
396,4,4,23,10,9,9,33,43,23,4,31
397,6,51,51,23,1148,1148,56,1148,177,56,31
398,305,32,32,32,32,32,12,4,12,582,31
399,68,68,882,12,68,111,111,9,6,4684,31
400,68,582,12,12,882,266,455,455,422,422,31
401,6,4,9,23,51,4,9,1049,23,23,31
402,4,9,51,23,9,9,23,81,164,164,31
403,182,168,162,182,310,168,164,182,41,164,31
404,168,5,5,162,182,164,9,2,2,3,31
405,9,9,9,3,38,2,2,13,38,78,31
406,38,38,78,19,6,78,38,38,192,19,31
407,6,19,6,9,3,19,13,13,78,19,31
408,78,78,19,19,19,19,19,19,23,23,31
409,4,38,15,3,13,38,6,15,19,19,31
410,38,38,19,173,173,173,173,9,6,9,31
411,9,9,9,4,9,9,2,9,4,2,31
412,9,2,1415,54,1415,54,54,54,142,86,31
413,86,54,1415,54,1415,9,9,4,9,9,31
414,4,9,6,23,4,9,5,182,162,5,31
415,41,2,3,6,9,9,4,6,9,2,31
416,3,4,2,30,4,10,30,4,33,4,31
417,9,10,9,33,4,6,6,4,60,60,31
418,51,23,4,60,60,4,51,4,9,51,31
419,4,39,6,51,23,23,33,23,9,4,31
420,60,60,60,60,39,80,67,113,141,15,31
421,72,15,37,24,24,15,15,2,994,107,31
422,41,185,52,41,307,41,82,41,185,85,31
423,82,577,31,3,618,134,198,134,3,201,31
424,123,618,134,52,71,3833,307,394,55,3,31
425,55,55,55,198,123,106,259,113,515,173,31
426,55,3911,4055,1173,370,1600,255,370,165,255,31
427,45,3499,255,99,370,45,45,45,159,255,31
428,1021,147,186,95,1021,97,608,3,9,6,31
429,2,608,113,721,85,15,15,52,3,30,31
430,10,33,6,9,9,37,24,24,9,9,31
431,9,37,24,24,9,55,307,134,55,55,31
432,141,113,55,123,198,3994,3856,218,258,396,31
433,553,350,6,15,72,2,22,521,573,4508,31
434,521,22,573,6,521,3121,711,107,17,5,31
435,18,5,573,136,3121,20,44,4,9,6,31
436,10,2,1236,6,15,1236,5,1236,5,3635,31
437,1236,2594,2622,2622,293,1236,3324,457,173,2519,31
438,173,2519,173,1236,1236,1236,31,2812,4185,3181,31
439,2,2018,1674,617,4590,3181,2425,1674,2812,4436,31
440,2018,4529,2018,3,5,1674,2018,15,1674,2425,31
441,2886,187,529,187,392,381,615,790,392,187,31
442,615,5,22,392,790,2356,187,529,863,612,31
443,31,656,392,790,5,381,971,173,184,187,31
444,392,187,615,44,381,5,2425,612,187,2356,31
445,187,656,17,18,529,656,381,863,187,22,31
446,5,173,3764,173,971,245,790,2,31,545,31
447,545,545,20,1028,187,1028,184,22,187,184,31
448,10,6,187,184,187,184,184,187,184,1674,31
449,20,9,55,123,198,55,4040,396,350,3886,31
450,553,1130,258,822,258,607,55,106,123,198,31
451,1910,106,4009,3900,218,218,1932,721,113,55,31
452,55,198,123,55,55,123,198,4046,370,3850,31
453,55,123,198,55,55,55,123,55,198,980,31
454,55,3820,3809,350,1165,613,550,1165,2,24,31
455,37,24,24,2,31,204,1355,1450,1355,1270,31
456,1270,1450,1355,1270,1450,517,1270,204,1355,1270,31
457,204,55,9,2,55,55,198,123,3805,3946,31
458,227,553,396,227,962,607,550,607,15,10,31
459,4,21,9,55,198,123,55,3810,3920,652,31
460,652,4,60,60,60,80,60,15,72,15,31
461,15,15,351,39,21,27,30,3,10,33,31
462,24,37,51,6,39,23,254,9,141,113,31
463,9,9,6,9,24,37,9,9,4,9,31
464,37,24,24,9,4,60,60,80,67,60,31
465,60,141,15,72,113,15,37,24,24,24,31
466,15,15,15,15,39,15,39,2,3,30,31
467,10,33,9,6,85,52,31,1355,204,1450,31
468,1270,1450,517,204,1270,1450,1355,15,3,204,31
469,1355,10,9,9,9,51,23,6,9,9,31
470,3,9,3,88,9,2,9,17,394,9,31
471,394,5,6,40,4,9,9,2,9,9,31
472,9,9,9,9,9,6,9,4,11,11,31
473,2,7,10,21,30,33,632,3,15,9,31
474,39,77,38,153,19,13,1,78,6,9,31
475,9,9,17,5,5,5,17,5,5,5,31
476,9,10,17,17,5,17,5,17,2934,17,31
477,5,17,5,6,9,2,3,10,9,9,31
478,4,9,9,9,9,9,9,9,9,9,31
479,9,9,9,9,4,9,9,9,9,9,31
480,9,9,9,2,9,4,9,39,39,88,31
481,213,9,6,3,2,39,9,9,3,30,31
482,9,10,33,6,23,6,9,9,9,9,31
483,9,6,9,4,9,9,9,9,9,9,31
484,6,4,9,5,17,22,53,3,213,2,31
485,6,9,2,6,10,207,498,77,3,9,31
486,9,9,60,60,60,60,39,39,80,67,31
487,15,72,15,15,15,3,30,10,9,33,31
488,24,37,51,6,23,85,52,9,9,9,31
489,24,37,24,9,9,9,37,24,4,9,31
490,9,9,9,24,37,24,9,9,9,4,31
491,37,24,9,4,134,577,134,3,618,31,31
492,3,134,201,198,123,134,192,618,618,134,31
493,134,394,3849,258,258,218,218,862,862,55,31
494,3,55,55,55,106,201,123,198,106,173,31
495,813,2515,1035,625,1159,625,3926,173,174,370,31
496,370,3970,212,885,885,370,370,55,123,198,31
497,55,201,106,4358,128,173,342,174,173,3971,31
498,2117,227,227,227,3965,1028,1028,861,822,822,31
499,55,55,198,123,201,55,55,4031,212,1049,31
500,43,2,2,6,3,43,6,3,2,2574,31
501,2574,2574,394,60,60,60,60,80,67,67,31
502,15,72,576,577,134,31,3,618,201,134,31
503,3,123,198,618,52,340,193,52,3914,1929,31
504,212,721,113,307,265,15,394,141,113,15,31
505,3,55,67,55,55,55,198,123,55,15,31
506,342,259,5,3988,3903,607,258,174,1444,24,31
507,37,24,544,39,85,52,37,24,24,39,31
508,24,37,37,24,24,577,134,3,618,123,31
509,198,201,31,618,192,134,203,5,209,134,31
510,3832,350,394,3,55,106,123,198,55,237,31
511,106,245,3918,55,198,123,5,1444,123,55,31
512,198,4025,3906,55,43,198,134,123,5,3917,31
513,1834,394,55,123,198,55,4003,3907,2,416,31
514,6,862,212,416,862,212,3,55,198,123,31
515,55,239,2,6,4050,3,3827,13,38,88,31
516,218,227,258,218,227,239,3,6,13,38,31
517,88,2501,1372,1901,2293,784,784,1850,575,740,31
518,2138,1850,740,244,784,2246,1824,31,458,1151,31
519,575,857,2127,1151,55,961,1274,198,123,1151,31
520,55,55,123,55,198,3916,3910,606,606,350,31
521,350,553,396,396,784,55,123,198,55,348,31
522,193,123,55,198,3867,3934,212,212,762,55,31
523,1824,2964,55,2964,784,784,784,80,67,141,31
524,15,113,72,37,24,24,31,577,134,3,31
525,618,201,3,134,198,123,618,134,193,348,31
526,52,5,209,134,52,3992,613,550,212,212,31
527,2,15,15,15,394,67,307,134,123,5,31
528,198,193,134,134,5,4004,550,550,676,676,31
529,227,721,113,218,394,3,55,55,55,55,31
530,55,55,123,198,55,5,3852,3819,246,227,31
531,227,606,603,396,553,396,545,545,55,55,31
532,123,198,245,193,173,106,259,113,173,3851,31
533,3840,1264,1264,1028,676,676,2890,370,2890,553,31
534,396,1444,55,1349,1349,3038,2677,22,1349,1349,31
535,22,1349,130,44,186,2677,130,1349,18,2,31
536,53,17,107,15,53,219,1349,3038,107,4623,31
537,5,239,88,13,3,38,9,20,85,6,31
538,10,52,239,9,54,62,2,142,54,62,31
539,86,62,54,86,62,3,9,2,37,24,31
540,2,3217,1980,2,1980,1980,1980,3,9,2,31
541,106,316,4507,374,316,1398,316,2179,374,98,31
542,1109,823,2768,1904,80,374,52,80,374,316,31
543,782,823,878,579,878,1109,2179,374,316,878,31
544,579,374,316,878,374,579,316,4337,1883,823,31
545,823,878,374,374,823,15,52,579,823,316,31
546,823,374,823,316,823,5,5,316,823,1203,31
